Respondent_ID,Timestamp,Age_Group,Gender,Region,Education,Preferred_Tool,Satisfaction,Feedback,Date
R0001,2024-03-07,25-34,Male,West,Undergraduate,Tableau,5,Tableau makes visualizations very easy.,2024-03-07
R0002,2024-03-20,18-24,Male,North,Postgraduate,R,5,Tableau makes visualizations very easy.,2024-03-20
R0003,2024-03-29,25-34,Female,South,Undergraduate,R,5,Python has a huge community and many libraries.,2024-03-29
R0004,2024-03-15,25-34,Female,North,Postgraduate,Python,5,Python has a huge community and many libraries.,2024-03-15
R0005,2024-03-11,25-34,Female,North,Undergraduate,SQL,1,Python automation saves a lot of time.,2024-03-11
R0006,2024-03-08,18-24,Non-binary,North,Postgraduate,Excel,3,Python automation saves a lot of time.,2024-03-08
R0007,2024-03-29,35-44,Male,North,Undergraduate,Python,1,Python automation saves a lot of time.,2024-03-29
R0008,2024-03-21,18-24,Male,East,Undergraduate,Python,4,I prefer Excel because it is beginner friendly.,2024-03-21
R0009,2024-03-07,18-24,Female,East,Working Professional,Excel,5,Python has a huge community and many libraries.,2024-03-07
R0010,2024-03-26,18-24,Male,North,Postgraduate,Excel,3,Excel dashboards are quick to build.,2024-03-26
R0011,2024-03-19,25-34,Non-binary,South,Undergraduate,Python,5,Python automation saves a lot of time.,2024-03-19
R0012,2024-03-23,25-34,Male,West,Working Professional,Tableau,2,Python automation saves a lot of time.,2024-03-23
R0013,2024-03-11,18-24,Non-binary,South,Undergraduate,Python,5,SQL is essential for database-related work.,2024-03-11
R0014,2024-03-11,25-34,Male,South,Working Professional,R,4,Python is very powerful and easy to learn.,2024-03-11
R0015,2024-03-24,18-24,Female,South,Postgraduate,Tableau,2,Excel dashboards are quick to build.,2024-03-24
R0016,2024-03-21,25-34,Female,North,Undergraduate,R,4,Python automation saves a lot of time.,2024-03-21
R0017,2024-03-04,18-24,Non-binary,East,Undergraduate,Excel,3,Python automation saves a lot of time.,2024-03-04
R0018,2024-03-08,25-34,Male,South,Undergraduate,Python,3,Python automation saves a lot of time.,2024-03-08
R0019,2024-03-24,18-24,Female,North,Postgraduate,Python,3,Python is very powerful and easy to learn.,2024-03-24
R0020,2024-03-03,45+,Non-binary,South,Postgraduate,Tableau,5,Python is very powerful and easy to learn.,2024-03-03
R0021,2024-03-22,18-24,Female,South,Undergraduate,R,4,I prefer Excel because it is beginner friendly.,2024-03-22
R0022,2024-03-21,18-24,Female,North,Undergraduate,SQL,3,Excel dashboards are quick to build.,2024-03-21
R0023,2024-03-02,18-24,Female,East,Working Professional,Python,4,I prefer Excel because it is beginner friendly.,2024-03-02
R0024,2024-03-24,45+,Male,East,Working Professional,Python,5,R is great for statistics and research.,2024-03-24
R0025,2024-03-12,35-44,Female,West,Postgraduate,Python,3,Python is very powerful and easy to learn.,2024-03-12
R0026,2024-03-30,18-24,Female,North,Undergraduate,Excel,4,SQL is essential for database-related work.,2024-03-30
R0027,2024-03-06,25-34,Female,West,Undergraduate,Python,2,Python has a huge community and many libraries.,2024-03-06
R0028,2024-03-02,35-44,Male,West,Undergraduate,SQL,3,SQL is essential for database-related work.,2024-03-02
R0029,2024-03-28,25-34,Male,West,Working Professional,R,4,Python has a huge community and many libraries.,2024-03-28
R0030,2024-03-21,25-34,Non-binary,East,Undergraduate,Tableau,3,Python is very powerful and easy to learn.,2024-03-21
R0031,2024-03-01,18-24,Female,North,Postgraduate,Python,4,Python is very powerful and easy to learn.,2024-03-01
R0032,2024-03-12,18-24,Male,West,Undergraduate,SQL,5,Python is very powerful and easy to learn.,2024-03-12
R0033,2024-03-26,35-44,Female,North,Postgraduate,SQL,2,I prefer Excel because it is beginner friendly.,2024-03-26
R0034,2024-03-22,35-44,Male,North,Postgraduate,SQL,4,Excel dashboards are quick to build.,2024-03-22
R0035,2024-03-29,25-34,Male,East,Working Professional,SQL,3,Python has a huge community and many libraries.,2024-03-29
R0036,2024-03-12,18-24,Male,West,Undergraduate,SQL,5,Excel dashboards are quick to build.,2024-03-12
R0037,2024-03-25,18-24,Male,West,Undergraduate,Excel,4,I prefer Excel because it is beginner friendly.,2024-03-25
R0038,2024-03-17,25-34,Female,North,Undergraduate,Python,5,I prefer Excel because it is beginner friendly.,2024-03-17
R0039,2024-03-27,35-44,Male,South,Working Professional,Python,4,Tableau makes visualizations very easy.,2024-03-27
R0040,2024-03-27,35-44,Non-binary,East,Working Professional,Tableau,1,SQL is essential for database-related work.,2024-03-27
R0041,2024-03-10,25-34,Non-binary,East,Postgraduate,Excel,4,SQL is essential for database-related work.,2024-03-10
R0042,2024-03-28,25-34,Female,East,Postgraduate,SQL,5,R is great for statistics and research.,2024-03-28
R0043,2024-03-28,18-24,Female,East,Postgraduate,R,4,Python automation saves a lot of time.,2024-03-28
R0044,2024-03-16,18-24,Male,West,Undergraduate,Python,5,I prefer Excel because it is beginner friendly.,2024-03-16
R0045,2024-03-15,35-44,Female,West,Working Professional,Python,5,Python has a huge community and many libraries.,2024-03-15
R0046,2024-03-30,25-34,Female,South,Undergraduate,Excel,3,Tableau makes visualizations very easy.,2024-03-30
R0047,2024-03-30,18-24,Male,East,Undergraduate,R,3,Tableau makes visualizations very easy.,2024-03-30
R0048,2024-03-15,18-24,Female,East,Postgraduate,Python,4,Python automation saves a lot of time.,2024-03-15
R0049,2024-03-30,25-34,Female,North,Undergraduate,R,4,Excel dashboards are quick to build.,2024-03-30
R0050,2024-03-19,18-24,Non-binary,West,Undergraduate,Python,5,Python automation saves a lot of time.,2024-03-19
R0051,2024-03-12,18-24,Female,East,Postgraduate,Excel,5,Python automation saves a lot of time.,2024-03-12
R0052,2024-03-23,25-34,Female,South,Undergraduate,Python,4,Python automation saves a lot of time.,2024-03-23
R0053,2024-03-20,25-34,Male,South,Postgraduate,SQL,3,SQL is essential for database-related work.,2024-03-20
R0054,2024-03-25,25-34,Female,West,Undergraduate,Python,5,I prefer Excel because it is beginner friendly.,2024-03-25
R0055,2024-03-03,18-24,Female,South,Undergraduate,R,3,R is great for statistics and research.,2024-03-03
R0056,2024-03-05,25-34,Male,South,Undergraduate,Python,5,I prefer Excel because it is beginner friendly.,2024-03-05
R0057,2024-03-19,18-24,Male,West,Undergraduate,Python,4,Excel dashboards are quick to build.,2024-03-19
R0058,2024-03-07,18-24,Male,East,Postgraduate,Python,4,Python is very powerful and easy to learn.,2024-03-07
R0059,2024-03-21,25-34,Female,East,Undergraduate,R,2,Python automation saves a lot of time.,2024-03-21
R0060,2024-03-09,25-34,Non-binary,South,Postgraduate,Excel,4,I prefer Excel because it is beginner friendly.,2024-03-09
R0061,2024-03-07,35-44,Male,South,Undergraduate,Python,4,Excel dashboards are quick to build.,2024-03-07
R0062,2024-03-18,25-34,Female,East,Postgraduate,Excel,4,Python is very powerful and easy to learn.,2024-03-18
R0063,2024-03-04,25-34,Male,West,Working Professional,SQL,3,Python is very powerful and easy to learn.,2024-03-04
R0064,2024-03-25,18-24,Non-binary,South,Postgraduate,SQL,5,Python automation saves a lot of time.,2024-03-25
R0065,2024-03-28,18-24,Female,North,Undergraduate,Python,5,R is great for statistics and research.,2024-03-28
R0066,2024-03-14,18-24,Female,West,Undergraduate,R,3,Python has a huge community and many libraries.,2024-03-14
R0067,2024-03-18,18-24,Male,South,Undergraduate,Python,2,SQL is essential for database-related work.,2024-03-18
R0068,2024-03-26,45+,Male,South,Postgraduate,Python,1,I prefer Excel because it is beginner friendly.,2024-03-26
R0069,2024-03-09,18-24,Male,North,Undergraduate,Tableau,4,Python is very powerful and easy to learn.,2024-03-09
R0070,2024-03-26,35-44,Male,North,Undergraduate,Python,4,I prefer Excel because it is beginner friendly.,2024-03-26
R0071,2024-03-21,25-34,Female,East,Postgraduate,R,4,Python has a huge community and many libraries.,2024-03-21
R0072,2024-03-02,25-34,Female,West,Undergraduate,Excel,3,SQL is essential for database-related work.,2024-03-02
R0073,2024-03-20,25-34,Non-binary,West,Postgraduate,Excel,4,Python has a huge community and many libraries.,2024-03-20
R0074,2024-03-28,25-34,Non-binary,East,Undergraduate,Excel,4,SQL is essential for database-related work.,2024-03-28
R0075,2024-03-15,18-24,Female,West,Undergraduate,Python,4,Tableau makes visualizations very easy.,2024-03-15
R0076,2024-03-28,18-24,Female,West,Postgraduate,Python,5,SQL is essential for database-related work.,2024-03-28
R0077,2024-03-07,25-34,Non-binary,West,Undergraduate,R,2,Python automation saves a lot of time.,2024-03-07
R0078,2024-03-12,18-24,Female,West,Postgraduate,Python,4,R is great for statistics and research.,2024-03-12
R0079,2024-03-29,18-24,Male,West,Undergraduate,Python,4,Python has a huge community and many libraries.,2024-03-29
R0080,2024-03-08,25-34,Male,North,Undergraduate,Python,4,Python is very powerful and easy to learn.,2024-03-08
R0081,2024-03-15,18-24,Male,West,Working Professional,Python,5,Python automation saves a lot of time.,2024-03-15
R0082,2024-03-03,45+,Non-binary,North,Postgraduate,Python,4,Tableau makes visualizations very easy.,2024-03-03
R0083,2024-03-14,45+,Female,West,Postgraduate,Python,5,R is great for statistics and research.,2024-03-14
R0084,2024-03-17,35-44,Male,East,Undergraduate,Excel,2,I prefer Excel because it is beginner friendly.,2024-03-17
R0085,2024-03-04,18-24,Female,South,Postgraduate,Excel,2,Python automation saves a lot of time.,2024-03-04
R0086,2024-03-18,18-24,Female,North,Undergraduate,SQL,5,Python has a huge community and many libraries.,2024-03-18
R0087,2024-03-08,45+,Male,West,Undergraduate,Python,4,Excel dashboards are quick to build.,2024-03-08
R0088,2024-03-04,18-24,Male,East,Working Professional,Python,3,Excel dashboards are quick to build.,2024-03-04
R0089,2024-03-02,45+,Female,South,Undergraduate,Python,2,Python is very powerful and easy to learn.,2024-03-02
R0090,2024-03-30,45+,Female,North,Working Professional,Excel,2,SQL is essential for database-related work.,2024-03-30
R0091,2024-03-06,35-44,Female,South,Undergraduate,Excel,5,Python is very powerful and easy to learn.,2024-03-06
R0092,2024-03-22,18-24,Female,East,Undergraduate,Python,3,Excel dashboards are quick to build.,2024-03-22
R0093,2024-03-10,18-24,Female,North,Postgraduate,Tableau,3,I prefer Excel because it is beginner friendly.,2024-03-10
R0094,2024-03-04,35-44,Female,South,Working Professional,Python,3,Tableau makes visualizations very easy.,2024-03-04
R0095,2024-03-22,18-24,Female,West,Postgraduate,R,4,Tableau makes visualizations very easy.,2024-03-22
R0096,2024-03-29,18-24,Female,North,Working Professional,Excel,2,Python has a huge community and many libraries.,2024-03-29
R0097,2024-03-18,25-34,Male,South,Postgraduate,SQL,4,Tableau makes visualizations very easy.,2024-03-18
R0098,2024-03-26,45+,Male,East,Postgraduate,Excel,2,Python has a huge community and many libraries.,2024-03-26
R0099,2024-03-12,25-34,Male,East,Working Professional,SQL,5,Python automation saves a lot of time.,2024-03-12
R0100,2024-03-02,25-34,Female,North,Undergraduate,Python,3,Python has a huge community and many libraries.,2024-03-02
R0101,2024-03-10,18-24,Female,South,Undergraduate,SQL,4,Python automation saves a lot of time.,2024-03-10
R0102,2024-03-30,25-34,Female,North,Undergraduate,Python,5,Python has a huge community and many libraries.,2024-03-30
R0103,2024-03-04,45+,Male,North,Working Professional,SQL,4,Excel dashboards are quick to build.,2024-03-04
R0104,2024-03-14,18-24,Male,South,Working Professional,R,4,Excel dashboards are quick to build.,2024-03-14
R0105,2024-03-16,25-34,Male,South,Undergraduate,SQL,3,SQL is essential for database-related work.,2024-03-16
R0106,2024-03-15,35-44,Male,West,Postgraduate,R,3,Python automation saves a lot of time.,2024-03-15
R0107,2024-03-08,25-34,Female,South,Working Professional,Excel,4,R is great for statistics and research.,2024-03-08
R0108,2024-03-14,25-34,Male,East,Undergraduate,R,5,Python automation saves a lot of time.,2024-03-14
R0109,2024-03-23,25-34,Male,North,Postgraduate,Excel,4,Python has a huge community and many libraries.,2024-03-23
R0110,2024-03-28,18-24,Female,North,Working Professional,Python,4,Python has a huge community and many libraries.,2024-03-28
R0111,2024-03-25,18-24,Male,East,Undergraduate,Python,5,R is great for statistics and research.,2024-03-25
R0112,2024-03-30,35-44,Male,South,Postgraduate,Python,4,Python is very powerful and easy to learn.,2024-03-30
R0113,2024-03-08,35-44,Female,East,Undergraduate,Python,2,Python has a huge community and many libraries.,2024-03-08
R0114,2024-03-21,35-44,Male,East,Working Professional,SQL,4,SQL is essential for database-related work.,2024-03-21
R0115,2024-03-16,35-44,Female,West,Working Professional,Python,5,Tableau makes visualizations very easy.,2024-03-16
R0116,2024-03-13,25-34,Female,East,Working Professional,Tableau,3,Tableau makes visualizations very easy.,2024-03-13
R0117,2024-03-18,25-34,Non-binary,North,Undergraduate,Python,4,I prefer Excel because it is beginner friendly.,2024-03-18
R0118,2024-03-15,25-34,Male,East,Working Professional,Python,3,I prefer Excel because it is beginner friendly.,2024-03-15
R0119,2024-03-21,25-34,Female,North,Working Professional,SQL,4,Tableau makes visualizations very easy.,2024-03-21
R0120,2024-03-24,25-34,Male,North,Undergraduate,Excel,2,Tableau makes visualizations very easy.,2024-03-24
R0121,2024-03-26,25-34,Male,North,Working Professional,R,4,Excel dashboards are quick to build.,2024-03-26
R0122,2024-03-25,35-44,Male,South,Undergraduate,Excel,5,SQL is essential for database-related work.,2024-03-25
R0123,2024-03-28,18-24,Non-binary,West,Postgraduate,Excel,3,R is great for statistics and research.,2024-03-28
R0124,2024-03-28,18-24,Male,North,Undergraduate,Python,4,I prefer Excel because it is beginner friendly.,2024-03-28
R0125,2024-03-28,18-24,Male,North,Undergraduate,Tableau,5,Excel dashboards are quick to build.,2024-03-28
R0126,2024-03-13,25-34,Female,South,Undergraduate,Tableau,5,Excel dashboards are quick to build.,2024-03-13
R0127,2024-03-09,18-24,Male,North,Postgraduate,Excel,3,R is great for statistics and research.,2024-03-09
R0128,2024-03-29,18-24,Male,East,Undergraduate,Python,4,Excel dashboards are quick to build.,2024-03-29
R0129,2024-03-15,25-34,Male,East,Postgraduate,Excel,3,Python automation saves a lot of time.,2024-03-15
R0130,2024-03-13,18-24,Male,West,Undergraduate,Python,5,SQL is essential for database-related work.,2024-03-13
R0131,2024-03-01,25-34,Male,North,Undergraduate,Python,5,Tableau makes visualizations very easy.,2024-03-01
R0132,2024-03-25,18-24,Male,South,Postgraduate,Python,4,Python has a huge community and many libraries.,2024-03-25
R0133,2024-03-07,18-24,Female,East,Postgraduate,R,5,R is great for statistics and research.,2024-03-07
R0134,2024-03-09,35-44,Male,South,Undergraduate,SQL,4,Tableau makes visualizations very easy.,2024-03-09
R0135,2024-03-24,18-24,Male,South,Postgraduate,Excel,4,Tableau makes visualizations very easy.,2024-03-24
R0136,2024-03-01,18-24,Female,East,Working Professional,Excel,2,Python is very powerful and easy to learn.,2024-03-01
R0137,2024-03-12,25-34,Male,South,Postgraduate,R,5,Python automation saves a lot of time.,2024-03-12
R0138,2024-03-08,25-34,Female,East,Undergraduate,Python,2,R is great for statistics and research.,2024-03-08
R0139,2024-03-24,18-24,Male,South,Undergraduate,Python,5,Excel dashboards are quick to build.,2024-03-24
R0140,2024-03-11,25-34,Male,East,Working Professional,Tableau,5,Python has a huge community and many libraries.,2024-03-11
R0141,2024-03-19,18-24,Male,North,Undergraduate,Python,5,R is great for statistics and research.,2024-03-19
R0142,2024-03-17,18-24,Male,West,Working Professional,SQL,1,Excel dashboards are quick to build.,2024-03-17
R0143,2024-03-08,25-34,Male,East,Postgraduate,Excel,3,Tableau makes visualizations very easy.,2024-03-08
R0144,2024-03-03,25-34,Male,East,Working Professional,R,3,Python has a huge community and many libraries.,2024-03-03
R0145,2024-03-03,25-34,Male,West,Postgraduate,Excel,4,Excel dashboards are quick to build.,2024-03-03
R0146,2024-03-01,25-34,Male,East,Working Professional,R,2,SQL is essential for database-related work.,2024-03-01
R0147,2024-03-27,45+,Male,East,Undergraduate,SQL,5,Excel dashboards are quick to build.,2024-03-27
R0148,2024-03-05,25-34,Male,South,Postgraduate,Tableau,4,Python is very powerful and easy to learn.,2024-03-05
R0149,2024-03-10,18-24,Male,West,Undergraduate,R,3,Python automation saves a lot of time.,2024-03-10
